t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,Pi
258,3.82,-110.00,5.04,2.00,0.9951,19,0,None
259,3.82,-110.00,5.04,2.00,0.9951,19,0,None
260,3.82,-110.00,5.04,2.00,0.9951,19,0,None
261,3.76,-109.87,5.04,2.00,0.9950,19,0,None
262,3.76,-109.87,5.04,2.00,0.9950,19,0,None
263,3.76,-109.87,5.04,2.00,0.9950,19,0,None
264,3.76,-109.87,5.04,2.00,0.9950,19,0,None
265,3.71,-109.73,5.04,2.00,0.9950,19,0,None
266,3.71,-109.73,5.04,2.00,0.9950,19,0,None
267,3.71,-109.73,5.04,2.00,0.9950,19,0,None
268,3.66,-109.61,5.04,2.00,0.9950,19,0,None
269,3.66,-109.61,5.04,2.00,0.9950,19,0,None
270,3.66,-109.61,5.04,2.00,0.9950,19,0,None
271,3.61,-109.48,5.04,2.00,0.9949,19,0,None
272,3.61,-109.48,5.04,2.00,0.9949,19,0,None
273,3.57,-109.40,5.04,2.00,0.9949,19,0,None
274,3.57,-109.40,5.04,2.00,0.9949,19,0,None
275,3.57,-109.40,5.04,2.00,0.9949,19,0,None
276,3.57,-109.40,5.04,2.00,0.9949,19,0,None
277,3.52,-109.27,5.04,2.00,0.9949,19,0,None
278,3.52,-109.27,5.04,2.00,0.9949,19,0,None
279,3.52,-109.27,5.04,2.00,0.9949,19,0,None
280,3.52,-109.27,5.04,2.00,0.9949,19,0,None
281,3.52,-109.27,5.04,2.00,0.9949,19,0,None
282,3.45,-109.10,5.04,2.00,0.9948,19,0,None
283,3.45,-109.10,5.04,2.00,0.9948,19,0,None
284,3.45,-109.10,5.04,2.00,0.9948,19,0,None
285,3.40,-108.97,5.04,2.00,0.9948,19,0,None
286,3.40,-108.97,5.04,2.00,0.9948,19,0,None
287,3.40,-108.97,5.04,2.00,0.9948,19,0,None
288,3.35,-108.84,5.04,2.00,0.9947,19,0,None
289,3.35,-108.84,5.04,2.00,0.9947,19,0,None
290,3.35,-108.84,5.04,2.00,0.9947,19,0,None
291,3.32,-108.76,5.04,2.00,0.9947,19,0,None
292,3.32,-108.76,5.04,2.00,0.9947,19,0,None
293,3.32,-108.76,5.04,2.00,0.9947,19,0,None
294,3.26,-108.63,5.04,2.00,0.9947,19,0,None
295,3.26,-108.63,5.04,2.00,0.9947,19,0,None
296,3.26,-108.63,5.04,2.00,0.9947,19,0,None
297,3.26,-108.63,5.04,2.00,0.9947,19,0,None
298,3.26,-108.63,5.04,2.00,0.9947,19,0,None
299,3.20,-108.46,5.04,2.00,0.9946,19,0,None
300,3.20,-108.46,5.04,2.00,0.9946,19,0,None
301,3.20,-108.46,5.04,2.00,0.9946,19,0,None
302,3.14,-108.34,5.04,2.00,0.9946,19,0,None
303,3.14,-108.34,5.04,2.00,0.9946,19,0,None
304,3.14,-108.34,5.04,2.00,0.9946,19,0,None
305,3.14,-108.34,5.04,2.00,0.9946,19,0,None
306,3.09,-108.21,5.04,2.00,0.9945,19,0,None
307,3.09,-108.21,5.04,2.00,0.9945,19,0,None
308,3.09,-108.21,5.04,2.00,0.9945,19,0,None
309,3.04,-108.09,5.04,2.00,0.9945,19,0,None
310,3.04,-108.09,5.04,2.00,0.9945,19,0,None
311,3.04,-108.09,5.04,2.00,0.9945,19,0,None
312,3.04,-108.09,5.04,2.00,0.9945,19,0,None
313,2.99,-107.95,5.04,2.00,0.9945,19,0,None
